Subset,Model,AUC,TrainingTime,Complexity,BestAUC,RashomonVolume,WithinEpsilon,ParetoFront
all,XGB,0.7611888111888112,0.07029223442077637,,0.808041958041958,3,False,True
all,LogisticRegression,0.808041958041958,0.0431215763092041,39.0,0.808041958041958,3,True,True
all,SVM,0.8017482517482517,0.03142261505126953,0.03142261505126953,0.808041958041958,3,True,True
all,QDA,0.7333916083916084,0.0,0.0,0.808041958041958,3,False,True
top5,XGB,0.7695804195804195,0.05879974365234375,,0.8150349650349651,2,False,True
top5,NaiveBayes,0.8150349650349651,0.0,0.0,0.8150349650349651,2,True,True
top3,XGB,0.7685314685314685,0.06935882568359375,,0.7748251748251748,11,True,True
top3,LogisticRegression,0.7748251748251748,0.004231929779052734,3.0,0.7748251748251748,11,True,True
top3,QDA,0.7727272727272727,0.0,0.0,0.7748251748251748,11,True,True
