Subset,Model,AUC,TrainingTime,Complexity,BestAUC,RashomonVolume,WithinEpsilon
top33,AdaBoost,0.856425702811245,0.09162378311157227,50.0,0.8835341365461847,2,False
top33,Bagging,0.860441767068273,0.020245790481567383,10.0,0.8835341365461847,2,False
top33,GBM,0.866214859437751,0.13880085945129395,100.0,0.8835341365461847,2,False
top33,ERT,0.8436244979919679,0.12296175956726074,100.0,0.8835341365461847,2,False
top33,RandomForest,0.8501506024096386,0.16955113410949707,100.0,0.8835341365461847,2,False
top33,XGB,0.8765060240963856,0.059888601303100586,,0.8835341365461847,2,True
top33,LogisticRegression,0.8835341365461847,0.28709864616394043,26.0,0.8835341365461847,2,True
top33,NaiveBayes,0.8132530120481928,0.0,0.0,0.8835341365461847,2,False
top33,MLP,0.5414156626506024,0.05007505416870117,100.0,0.8835341365461847,2,False
top33,KNN,0.6182228915662651,0.0,0.0,0.8835341365461847,2,False
top33,SVM,0.6947791164658634,0.022995710372924805,0.022995710372924805,0.8835341365461847,2,False
top33,DecisionTree,0.6837349397590361,0.0,14.0,0.8835341365461847,2,False
top33,LDA,0.8428714859437751,0.0,26.0,0.8835341365461847,2,False
top33,QDA,0.6912650602409639,0.00781393051147461,0.00781393051147461,0.8835341365461847,2,False
top66,AdaBoost,0.8546686746987951,0.10043215751647949,50.0,0.8770080321285141,2,False
top66,Bagging,0.8514056224899598,0.02689528465270996,10.0,0.8770080321285141,2,False
top66,GBM,0.8549196787148594,0.15189504623413086,100.0,0.8770080321285141,2,False
top66,ERT,0.8376004016064257,0.12828707695007324,100.0,0.8770080321285141,2,False
top66,RandomForest,0.8388554216867469,0.15259122848510742,100.0,0.8770080321285141,2,False
top66,XGB,0.8704819277108433,0.08302736282348633,,0.8770080321285141,2,True
top66,LogisticRegression,0.8770080321285141,0.29480528831481934,52.0,0.8770080321285141,2,True
top66,NaiveBayes,0.8147590361445783,0.0,0.0,0.8770080321285141,2,False
top66,MLP,0.6312751004016064,0.040242910385131836,100.0,0.8770080321285141,2,False
top66,KNN,0.6182228915662651,0.0,0.0,0.8770080321285141,2,False
top66,SVM,0.7083333333333334,0.025168895721435547,0.025168895721435547,0.8770080321285141,2,False
top66,DecisionTree,0.7161144578313253,0.002321481704711914,14.0,0.8770080321285141,2,False
top66,LDA,0.8102409638554217,0.01634073257446289,52.0,0.8770080321285141,2,False
top66,QDA,0.6001506024096386,0.009819269180297852,0.009819269180297852,0.8770080321285141,2,False
top100,AdaBoost,0.8546686746987951,0.10599303245544434,50.0,0.8795180722891567,1,False
top100,Bagging,0.8468875502008033,0.03182029724121094,10.0,0.8795180722891567,1,False
top100,GBM,0.8629518072289156,0.16296172142028809,100.0,0.8795180722891567,1,False
top100,ERT,0.8140060240963856,0.12143945693969727,100.0,0.8795180722891567,1,False
top100,RandomForest,0.8343373493975905,0.1540379524230957,100.0,0.8795180722891567,1,False
top100,XGB,0.8579317269076305,0.09477710723876953,,0.8795180722891567,1,False
top100,LogisticRegression,0.8795180722891567,0.2702939510345459,79.0,0.8795180722891567,1,True
top100,NaiveBayes,0.8152610441767069,0.009812355041503906,0.009812355041503906,0.8795180722891567,1,False
top100,MLP,0.6405622489959839,0.06336474418640137,100.0,0.8795180722891567,1,False
top100,KNN,0.6182228915662651,0.0,0.0,0.8795180722891567,1,False
top100,SVM,0.6987951807228916,0.04095864295959473,0.04095864295959473,0.8795180722891567,1,False
top100,DecisionTree,0.7133534136546186,0.00579071044921875,14.0,0.8795180722891567,1,False
top100,LDA,0.8072289156626506,0.023119211196899414,79.0,0.8795180722891567,1,False
top100,QDA,0.6159638554216867,0.016582250595092773,0.016582250595092773,0.8795180722891567,1,False
