Subset,Model,AUC,TrainingTime,Complexity,BestAUC,RashomonVolume,WithinEpsilon,ParetoFront
top33,AdaBoost,0.8978413654618475,0.1027216911315918,50.0,0.8978413654618475,1,True,True
top33,XGB,0.8549196787148594,0.08950424194335938,,0.8978413654618475,1,False,True
top33,LogisticRegression,0.8694779116465863,0.22837400436401367,26.0,0.8978413654618475,1,False,True
top33,NaiveBayes,0.8137550200803213,0.002785205841064453,0.002785205841064453,0.8978413654618475,1,False,True
top33,KNN,0.6182228915662651,0.002319812774658203,0.002319812774658203,0.8978413654618475,1,False,True
top33,QDA,0.8453815261044176,0.004959821701049805,0.004959821701049805,0.8978413654618475,1,False,True
top66,AdaBoost,0.8546686746987951,0.11189746856689453,50.0,0.8800200803212851,1,False,True
top66,Bagging,0.8391064257028112,0.032196760177612305,10.0,0.8800200803212851,1,False,True
top66,XGB,0.858433734939759,0.11654949188232422,,0.8800200803212851,1,False,True
top66,LogisticRegression,0.8800200803212851,0.236067533493042,52.0,0.8800200803212851,1,True,True
top66,NaiveBayes,0.8147590361445783,0.0026416778564453125,0.0026416778564453125,0.8800200803212851,1,False,True
top66,KNN,0.6182228915662651,0.0021543502807617188,0.0021543502807617188,0.8800200803212851,1,False,True
top100,AdaBoost,0.8546686746987951,0.11646413803100586,50.0,0.8795180722891566,1,False,True
top100,XGB,0.8579317269076305,0.12303590774536133,,0.8795180722891566,1,False,True
top100,LogisticRegression,0.8795180722891566,0.2535820007324219,79.0,0.8795180722891566,1,True,True
top100,NaiveBayes,0.8152610441767069,0.002009868621826172,0.002009868621826172,0.8795180722891566,1,False,True
