,Chi²,GainR,OneR,SU,IG,Rel,KT,PCF,Rimp,Rper,RFi,AUC,ANOVA,Mean,Rank
CGPA,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4615384615384615,1.0
GRE Score,1.0,2.0,2.0,7.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.3846153846153846,2.0
TOEFL Score,3.0,3.0,3.0,6.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.3076923076923075,3.0
University Rating,2.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,4.3076923076923075,4.5
SOP,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.3076923076923075,4.5
LOR,6.0,6.0,6.0,4.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.923076923076923,6.0
Research,4.0,7.0,7.0,2.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.3076923076923075,7.0
