Subset,Model,AUC,TrainingTime,Complexity,BestAUC,RashomonVolume,WithinEpsilon,ParetoFront
top33,XGB,0.954940057875155,0.05530142784118652,,0.9656883009508059,6,False,True
top33,NaiveBayes,0.9640347250930136,0.0010023117065429688,0.0010023117065429688,0.9656883009508059,6,True,True
top33,LDA,0.9656883009508059,0.002010345458984375,2.0,0.9656883009508059,6,True,True
top66,AdaBoost,0.9778834229020257,0.08053350448608398,50.0,0.9778834229020257,6,True,True
top66,XGB,0.9574204216618437,0.05698204040527344,,0.9778834229020257,6,False,True
top66,NaiveBayes,0.9710624224886317,0.0010023117065429688,0.0010023117065429688,0.9778834229020257,6,True,True
top66,KNN,0.9367507234394377,0.0,0.0,0.9778834229020257,6,False,True
top66,LDA,0.9739561802397686,0.0020041465759277344,4.0,0.9778834229020257,6,True,True
top100,XGB,0.9565936337329475,0.05791902542114258,,0.9813972715998347,5,False,True
top100,NaiveBayes,0.9813972715998347,0.0010025501251220703,0.0010025501251220703,0.9813972715998347,5,True,True
