Subset,RashomonVolume,AUC_Mean,AUC_Max,Complexity_Mean
top100,1,0.7890492782478845,0.8787456445993032,44.76923076923077
top33,2,0.8257590841214535,0.8860627177700349,39.53846153846154
top66,3,0.8122946739671478,0.8825783972125437,41.76923076923077
